rank,account_name,fit,urgency,total,fit_reason,urgency_reason,urgency_source,trigger_summary,best_fit_trial_title,best_fit_trial_status,best_fit_trial_phase,best_fit_trial_url,best_urgency_trial_title,best_urgency_trial_status,best_urgency_trial_phase,best_urgency_trial_url,sec_matched_total,patent_matched_total,target_roles
25,AbbVie,5.0,3.0,20.1,CAR-T trial,RECRUITING in high urgency phase (PHASE1),clinicaltrials,"trial_collaborator: Venetoclax, Dasatinib, Prednisone, Rituximab and Blinatumomab for the Treatment of Newly Diagnosed or Relapsed | trial_candidate: A Study of TNB-383B in Participants With Relapsed or Refractory Multiple Myeloma | trial_collaborator: Subcutaneous Epcoritamab With or Without Lenalidomide as First Line Therapy for Diffuse Large B-Cell Lymphoma",MRD-Directed Consolidation With Epcor-only or Epcor-R2 Post Anti-CD19 CAR TCell Therapy for Large B-Cell Lymphoma,RECRUITING,PHASE2,https://clinicaltrials.gov/study/NCT06414148,"Venetoclax, Dasatinib, Prednisone, Rituximab and Blinatumomab for the Treatment of Newly Diagnosed or Relapsed Philadelphia Chromosome Positive Acute Lymphoblastic Leukemia or Mixed Phenotype Acute Leukemia",RECRUITING,PHASE1,https://clinicaltrials.gov/study/NCT04872790,0,0,"[""Clinical Scientist / Early Clinical Development Lead (Phase 1)"", ""Director/VP, Translational Medicine (Oncology/Immunology)"", ""Head/Director, Clinical Biomarkers / Translational Biomarkers"", ""Head/Director, Immune Monitoring / Flow Cytometry / Cytometry Core"", ""Director, Bioassay / Potency / Analytical Development""]"
26,Autolus Limited,5.0,3.0,20.1,CAR-T trial,RECRUITING in high urgency phase (PHASE2),clinicaltrials,"trial_collaborator: A Study of Obecabtagene Autoleucel in People With B-cell Acute Lymphoblastic Leukemia | trial_candidate: Obe-cel in Adolescent [Applicable in UK Only] and Adult Severe, Refractory Systemic Lupus Erythematosus | trial_candidate: A Study of CD19 Targeted CAR T Cell Therapy in Adult Patients With Relapsed or Refractory B Cell Acute Lymphob",A Study of CD19 Targeted CAR T Cell Therapy in Adult Patients With Relapsed or Refractory B Cell Acute Lymphoblastic Leukaemia (ALL),ACTIVE_NOT_RECRUITING,"PHASE1,PHASE2",https://clinicaltrials.gov/study/NCT04404660,A Study of Obecabtagene Autoleucel in People With B-cell Acute Lymphoblastic Leukemia,RECRUITING,PHASE2,https://clinicaltrials.gov/study/NCT07400029,0,0,"[""Clinical Scientist / Early Clinical Development Lead (Phase 1)"", ""Director/VP, Translational Medicine (Oncology/Immunology)"", ""Head/Director, Clinical Biomarkers / Translational Biomarkers"", ""Head/Director, Immune Monitoring / Flow Cytometry / Cytometry Core"", ""Director, Bioassay / Potency / Analytical Development""]"
27,iCell Gene Therapeutics,5.0,3.0,20.1,CAR-T trial,RECRUITING in high urgency phase (PHASE1),clinicaltrials,trial_collaborator: CD4CAR for CD4+ Leukemia and Lymphoma | trial_collaborator: Chimeric Antigen Receptor T Cell Therapy Redirected to CD4 (CD4CAR)as a Second Line Treatment for Chronic Myel | trial_collaborator: Chimeric Antigen Receptor T Cell Redirected to Target CD4 Positive Relapsed Refractory Acute Myeloid Leukemia ,"Chimeric Antigen Receptor T Cell Therapy Redirected to CD4 (CD4CAR)as a Second Line Treatment for Chronic Myelomonocytic Leukemia, CMML.",RECRUITING,PHASE1,https://clinicaltrials.gov/study/NCT06071624,CD4CAR for CD4+ Leukemia and Lymphoma,RECRUITING,PHASE1,https://clinicaltrials.gov/study/NCT03829540,0,0,"[""Clinical Scientist / Early Clinical Development Lead (Phase 1)"", ""Director/VP, Translational Medicine (Oncology/Immunology)"", ""Head/Director, Clinical Biomarkers / Translational Biomarkers"", ""Head/Director, Immune Monitoring / Flow Cytometry / Cytometry Core"", ""Director, Bioassay / Potency / Analytical Development""]"
28,"CARsgen Therapeutics Co., Ltd.",5.0,3.0,20.1,CAR-T trial,RECRUITING in high urgency phase (PHASE1),clinicaltrials,"trial_collaborator: Safety, Efficacy and Cellular Metabolic Dynamics of CT1195E in Patients With Refractory / Progressive SSC | trial_collaborator: A Clinical Study Exploring the Safety, Efficacy and Cell Metabolic Dynamics of Universal CD19 / 20 Car-t Cell  | trial_collaborator: Safety, Efficacy and Cellular Metabolic Dynamics of ct1192 in Patients With Moderate to Severe Refractory SLE","A Clinical Study Exploring the Safety, Efficacy and Cell Metabolic Dynamics of Universal CD19 / 20 Car-t Cell Injection in Moderate to Severe Refractory Systemic Lupus Erythematosus",RECRUITING,EARLY_PHASE1,https://clinicaltrials.gov/study/NCT07339332,"Safety, Efficacy and Cellular Metabolic Dynamics of ct1192 in Patients With Moderate to Severe Refractory SLE",RECRUITING,PHASE1,https://clinicaltrials.gov/study/NCT07031713,0,0,"[""Clinical Scientist / Early Clinical Development Lead (Phase 1)"", ""Director/VP, Translational Medicine (Oncology/Immunology)"", ""Head/Director, Clinical Biomarkers / Translational Biomarkers"", ""Head/Director, Immune Monitoring / Flow Cytometry / Cytometry Core"", ""Director, Bioassay / Potency / Analytical Development""]"
29,"Rui Therapeutics Co., Ltd",5.0,3.0,20.1,CAR-T trial,NOT_YET_RECRUITING in high urgency phase (PHASE1),clinicaltrials,trial_collaborator: An Exploratory Clinical Study on the Safety and Efficacy of Anti-CD19/BCMA U CAR-T Cells in the Treatment of R | trial_collaborator: Exploratory Clinical Study on the Safety and Efficacy of Anti- CD19/BCMA U CAR-T Cell Injection for the Treatm | trial_collaborator: RN1201 Injection for Autoimmune Diseases Refractory to Standard Therapies,An Exploratory Clinical Study on the Safety and Efficacy of Anti-CD19/BCMA U CAR-T Cells in the Treatment of Relapsed/Refractory Immune-mediated Kidney Disease,RECRUITING,EARLY_PHASE1,https://clinicaltrials.gov/study/NCT07241468,RN1201 Injection for Autoimmune Diseases Refractory to Standard Therapies,NOT_YET_RECRUITING,PHASE1,https://clinicaltrials.gov/study/NCT07105735,0,0,"[""Clinical Scientist / Early Clinical Development Lead (Phase 1)"", ""Director/VP, Translational Medicine (Oncology/Immunology)"", ""Head/Director, Clinical Biomarkers / Translational Biomarkers"", ""Head/Director, Immune Monitoring / Flow Cytometry / Cytometry Core"", ""Director, Bioassay / Potency / Analytical Development""]"
30,Yake Biotechnology Ltd.,5.0,3.0,20.1,CAR-T trial,"NOT_YET_RECRUITING in high urgency phase (PHASE1,PHASE2)",clinicaltrials,trial_collaborator: Clinical Study of Anti-CLL1-CD33-NKG2D Bicephali CAR-T for Relapsed/Refractory Acute Myeloid Leukemia | trial_collaborator: A Multicenter Study of CAR-T Cells in Primary Ph+All | trial_collaborator: Donor Derived CD117 CAR-T Cells in the Treatment of R/R Acute Myeloid Leukemia,Clinical Study of Anti-CLL1-CD33-NKG2D Bicephali CAR-T for Relapsed/Refractory Acute Myeloid Leukemia,NOT_YET_RECRUITING,"PHASE1,PHASE2",https://clinicaltrials.gov/study/NCT07370064,Clinical Study of Anti-CLL1-CD33-NKG2D Bicephali CAR-T for Relapsed/Refractory Acute Myeloid Leukemia,NOT_YET_RECRUITING,"PHASE1,PHASE2",https://clinicaltrials.gov/study/NCT07370064,0,0,"[""Clinical Scientist / Early Clinical Development Lead (Phase 1)"", ""Director/VP, Translational Medicine (Oncology/Immunology)"", ""Head/Director, Clinical Biomarkers / Translational Biomarkers"", ""Head/Director, Immune Monitoring / Flow Cytometry / Cytometry Core"", ""Director, Bioassay / Potency / Analytical Development""]"
31,"Shanghai Xiniao Biotech Co., Ltd.",5.0,3.0,20.1,CAR-T trial,RECRUITING in high urgency phase (PHASE1),clinicaltrials,trial_collaborator: CAR T-cell Therapy Targeting CD19 and BCMA(QT-019C) in Patients With Relapse/Refractory Autoimmune Diseases | trial_collaborator: Universal Chimeric Antigen Receptor T-Cell （UCAR T-cell） Therapy Targeting CD19/B Cell Maturation Antigen （CD1 | trial_collaborator: CAR T-cell Therapy Targeting CD19 and BCMA in Patients With Relapse/Refractory Autoimmune Diseases,CAR T-cell Therapy Targeting CD19 and BCMA(QT-019C) in Patients With Relapse/Refractory Autoimmune Diseases,RECRUITING,PHASE1,https://clinicaltrials.gov/study/NCT07315087,CAR T-cell Therapy Targeting CD19 and BCMA(QT-019C) in Patients With Relapse/Refractory Autoimmune Diseases,RECRUITING,PHASE1,https://clinicaltrials.gov/study/NCT07315087,0,0,"[""Clinical Scientist / Early Clinical Development Lead (Phase 1)"", ""Director/VP, Translational Medicine (Oncology/Immunology)"", ""Head/Director, Clinical Biomarkers / Translational Biomarkers"", ""Head/Director, Immune Monitoring / Flow Cytometry / Cytometry Core"", ""Director, Bioassay / Potency / Analytical Development""]"
32,"Hebei Taihe Chunyu Biotechnology Co., Ltd",5.0,3.0,20.1,CAR-T trial,"NOT_YET_RECRUITING in high urgency phase (PHASE1,PHASE2)",clinicaltrials,"trial_collaborator: Multicenter, Single-Arm Exploratory Phase I Clinical Study (Assessment of Safety and Efficacy) of Fully Human  | trial_collaborator: CAR19-BCMA Dual-target CAR-T in the Treatment of Relapsed / Refractory Multiple Myeloma | trial_collaborator: Autologous Transplantation Combined With BCMA CAR-T in the Treatment of Young NDMM","Multicenter, Single-Arm Exploratory Phase I Clinical Study (Assessment of Safety and Efficacy) of Fully Human BAFF-R Chimeric Antigen Receptor T-Cell Injection in Relapsed/Refractory BAFF-R-Positive B-Cell Lymphoma",NOT_YET_RECRUITING,"PHASE1,PHASE2",https://clinicaltrials.gov/study/NCT07259070,"Multicenter, Single-Arm Exploratory Phase I Clinical Study (Assessment of Safety and Efficacy) of Fully Human BAFF-R Chimeric Antigen Receptor T-Cell Injection in Relapsed/Refractory BAFF-R-Positive B-Cell Lymphoma",NOT_YET_RECRUITING,"PHASE1,PHASE2",https://clinicaltrials.gov/study/NCT07259070,0,0,"[""Clinical Scientist / Early Clinical Development Lead (Phase 1)"", ""Director/VP, Translational Medicine (Oncology/Immunology)"", ""Head/Director, Clinical Biomarkers / Translational Biomarkers"", ""Head/Director, Immune Monitoring / Flow Cytometry / Cytometry Core"", ""Director, Bioassay / Potency / Analytical Development""]"
33,"Genentech, Inc.",5.0,3.0,20.1,CAR-T trial,NOT_YET_RECRUITING in high urgency phase (PHASE1),clinicaltrials,"trial_candidate: A Study to Evaluate the Safety, Tolerability, Cellular Kinetics, Pharmacodynamics, and Efficacy of P-CD19CD20- | trial_collaborator: Testing Drug Treatments After CAR T-cell Therapy in Patients With Relapsed/Refractory Diffuse Large B-cell Lym | trial_collaborator: Glofitamab Plus Ibrutinib With Obinutuzumab for the Treatment of Patients With Mantle Cell Lymphoma, IGNITE MC",Testing Drug Treatments After CAR T-cell Therapy in Patients With Relapsed/Refractory Diffuse Large B-cell Lymphoma,RECRUITING,PHASE2,https://clinicaltrials.gov/study/NCT05633615,"A Study to Evaluate the Safety, Tolerability, Cellular Kinetics, Pharmacodynamics, and Efficacy of P-CD19CD20-ALLO1 in Participants With Severe, Treatment-refractory Systemic Lupus Erythematosus (SLE)",NOT_YET_RECRUITING,PHASE1,https://clinicaltrials.gov/study/NCT06984341,0,0,"[""Clinical Scientist / Early Clinical Development Lead (Phase 1)"", ""Director/VP, Translational Medicine (Oncology/Immunology)"", ""Head/Director, Clinical Biomarkers / Translational Biomarkers"", ""Head/Director, Immune Monitoring / Flow Cytometry / Cytometry Core"", ""Director, Bioassay / Potency / Analytical Development""]"
34,"Gracell Biotechnologies (Shanghai) Co., Ltd.",5.0,3.0,20.1,CAR-T trial,"RECRUITING in high urgency phase (PHASE1,PHASE2)",clinicaltrials,trial_candidate: A Study of GC012F in Patients With Relapsed/Refractory Multiple Myeloma | trial_collaborator: GC012F Injection in Refractory Idiopathic Inflammatory Myopathy | trial_candidate: A Study of GC012F Injection in Subjects With Refractory Systemic Lupus Erythematosus,"Study of GC012F, CAR-T Therapy Targeting CD19 and BCMA in Chinese Participants With Relapsed or Refractory AL Amyloidosis",RECRUITING,PHASE1,https://clinicaltrials.gov/study/NCT07250269,A Study of GC012F in Patients With Relapsed/Refractory Multiple Myeloma,RECRUITING,"PHASE1,PHASE2",https://clinicaltrials.gov/study/NCT06235229,0,0,"[""Clinical Scientist / Early Clinical Development Lead (Phase 1)"", ""Director/VP, Translational Medicine (Oncology/Immunology)"", ""Head/Director, Clinical Biomarkers / Translational Biomarkers"", ""Head/Director, Immune Monitoring / Flow Cytometry / Cytometry Core"", ""Director, Bioassay / Potency / Analytical Development""]"
35,A2 Biotherapeutics Inc.,5.0,3.0,20.1,CAR-T trial,"RECRUITING in high urgency phase (PHASE1,PHASE2)",clinicaltrials,"trial_candidate: A Study to Evaluate the Safety and Efficacy of Mesothelin-Targeting Logic-gated CAR T, in Participants With So | trial_candidate: Solid Tumor Analysis for HLA Loss of Heterozygosity (LOH) and Apheresis for CAR T- Cell Manufacturing | trial_candidate: A Study to Evaluate the Safety and Efficacy of A2B395, an Allogeneic Logic-gated CAR T, in Participants With S","A Study to Evaluate the Safety and Efficacy of Mesothelin-Targeting Logic-gated CAR T, in Participants With Solid Tumors That Express MSLN and Have Lost HLA-A*02 Expression",RECRUITING,"PHASE1,PHASE2",https://clinicaltrials.gov/study/NCT06051695,"A Study to Evaluate the Safety and Efficacy of Mesothelin-Targeting Logic-gated CAR T, in Participants With Solid Tumors That Express MSLN and Have Lost HLA-A*02 Expression",RECRUITING,"PHASE1,PHASE2",https://clinicaltrials.gov/study/NCT06051695,0,0,"[""Clinical Scientist / Early Clinical Development Lead (Phase 1)"", ""Director/VP, Translational Medicine (Oncology/Immunology)"", ""Head/Director, Clinical Biomarkers / Translational Biomarkers"", ""Head/Director, Immune Monitoring / Flow Cytometry / Cytometry Core"", ""Director, Bioassay / Potency / Analytical Development""]"
36,"Poseida Therapeutics, Inc.",5.0,3.0,20.1,CAR-T trial,ACTIVE_NOT_RECRUITING in high urgency phase (PHASE1),clinicaltrials,trial_candidate: P-MUC1C-ALLO1 Allogeneic CAR-T Cells in the Treatment of Subjects With Advanced or Metastatic Solid Tumors | trial_candidate: P-BCMA-ALLO1 Allogeneic CAR-T Cells in the Treatment of Subjects With Multiple Myeloma | trial_candidate: P-CD19CD20-ALLO1 Allogeneic CAR-T Cells in the Treatment of Subjects With B Cell Malignancies,P-MUC1C-ALLO1 Allogeneic CAR-T Cells in the Treatment of Subjects With Advanced or Metastatic Solid Tumors,ACTIVE_NOT_RECRUITING,PHASE1,https://clinicaltrials.gov/study/NCT05239143,P-MUC1C-ALLO1 Allogeneic CAR-T Cells in the Treatment of Subjects With Advanced or Metastatic Solid Tumors,ACTIVE_NOT_RECRUITING,PHASE1,https://clinicaltrials.gov/study/NCT05239143,0,0,"[""Clinical Scientist / Early Clinical Development Lead (Phase 1)"", ""Director/VP, Translational Medicine (Oncology/Immunology)"", ""Head/Director, Clinical Biomarkers / Translational Biomarkers"", ""Head/Director, Immune Monitoring / Flow Cytometry / Cytometry Core"", ""Director, Bioassay / Potency / Analytical Development""]"
37,Cabaletta Bio,5.0,3.0,20.1,CAR-T trial,"RECRUITING in high urgency phase (PHASE1,PHASE2)",clinicaltrials,"trial_candidate: RESET-MG: A Study to Evaluate the Safety and Efficacy of CABA-201 in Participants With Generalized Myasthenia  | trial_candidate: A Phase 1/2, Open-label, Safety and Dosing Study of Autologous CART Cells (Desmoglein 3 Chimeric Autoantibody  | trial_candidate: RESET-SLE: A Phase 1/2 Open-Label Study to Evaluate the Safety and Efficacy of CABA-201 in Subjects With Activ","A Phase 1/2, Open-label, Safety and Dosing Study of Autologous CART Cells (Desmoglein 3 Chimeric Autoantibody Receptor T Cells [DSG3-CAART] or CD19-specific Chimeric Antigen Receptor T Cells [CABA-201]) in Subjects With Active, Pemphigus Vulgaris (RESET-PV)",RECRUITING,"PHASE1,PHASE2",https://clinicaltrials.gov/study/NCT04422912,RESET-MG: A Study to Evaluate the Safety and Efficacy of CABA-201 in Participants With Generalized Myasthenia Gravis,RECRUITING,"PHASE1,PHASE2",https://clinicaltrials.gov/study/NCT06359041,0,0,"[""Clinical Scientist / Early Clinical Development Lead (Phase 1)"", ""Director/VP, Translational Medicine (Oncology/Immunology)"", ""Head/Director, Clinical Biomarkers / Translational Biomarkers"", ""Head/Director, Immune Monitoring / Flow Cytometry / Cytometry Core"", ""Director, Bioassay / Potency / Analytical Development""]"
38,Takeda,5.0,3.0,20.1,CAR-T trial,RECRUITING in high urgency phase (PHASE1),clinicaltrials,"trial_collaborator: A Study of ADCLEC.syn1 in People With Acute Myeloid Leukemia | trial_candidate: A Study of Gammagard Liquid (Immune Globulin Infusion, 10%) to Prevent Infections in Adults With Multiple Myel | trial_collaborator: IVIG for Infection Prevention After CAR-T-Cell Therapy",IVIG for Infection Prevention After CAR-T-Cell Therapy,RECRUITING,PHASE2,https://clinicaltrials.gov/study/NCT05952804,A Study of ADCLEC.syn1 in People With Acute Myeloid Leukemia,RECRUITING,PHASE1,https://clinicaltrials.gov/study/NCT05748197,0,0,"[""Clinical Scientist / Early Clinical Development Lead (Phase 1)"", ""Director/VP, Translational Medicine (Oncology/Immunology)"", ""Head/Director, Clinical Biomarkers / Translational Biomarkers"", ""Head/Director, Immune Monitoring / Flow Cytometry / Cytometry Core"", ""Director, Bioassay / Potency / Analytical Development""]"
39,Cartesian Therapeutics,5.0,3.0,20.1,CAR-T trial,NOT_YET_RECRUITING in high urgency phase (PHASE2),clinicaltrials,"trial_candidate: Descartes-08 in Autoantibody Myositis | trial_candidate: Investigating an mRNA CAR T-cell Therapy, Known as Descartes-08, as a Potential Approach to Treat Myasthenia G | trial_candidate: Descartes-08 for Patients With Systemic Lupus Erythematosus","Investigating an mRNA CAR T-cell Therapy, Known as Descartes-08, as a Potential Approach to Treat Myasthenia Gravis",RECRUITING,PHASE3,https://clinicaltrials.gov/study/NCT06799247,Descartes-08 in Autoantibody Myositis,NOT_YET_RECRUITING,PHASE2,https://clinicaltrials.gov/study/NCT07391605,0,0,"[""Clinical Scientist / Early Clinical Development Lead (Phase 1)"", ""Director/VP, Translational Medicine (Oncology/Immunology)"", ""Head/Director, Clinical Biomarkers / Translational Biomarkers"", ""Head/Director, Immune Monitoring / Flow Cytometry / Cytometry Core"", ""Director, Bioassay / Potency / Analytical Development""]"
40,Merck Sharp & Dohme LLC,5.0,3.0,20.1,CAR-T trial,RECRUITING in high urgency phase (PHASE2),clinicaltrials,trial_candidate: A Study of Zilovertamab Vedotin (MK-2140) as Monotherapy and in Combination in Participants With Aggressive an | trial_candidate: Substudy 01A: Zilovertamab Vedotin in Pediatric and Young Adult Participants With Hematologic Malignancies or  | trial_collaborator: Nemtabrutinib and Lisocabtagene Maraleucel for the Treatment of Relapsed/Refractory Chronic Lymphocytic Leukem,Pembro Plus CAR T-cell Therapy in R/R in PMBCL,RECRUITING,PHASE2,https://clinicaltrials.gov/study/NCT05934448,A Study of Zilovertamab Vedotin (MK-2140) as Monotherapy and in Combination in Participants With Aggressive and Indolent B-cell Malignancies (MK-2140-006),RECRUITING,PHASE2,https://clinicaltrials.gov/study/NCT05458297,0,0,"[""Clinical Scientist / Early Clinical Development Lead (Phase 1)"", ""Director/VP, Translational Medicine (Oncology/Immunology)"", ""Head/Director, Clinical Biomarkers / Translational Biomarkers"", ""Head/Director, Immune Monitoring / Flow Cytometry / Cytometry Core"", ""Director, Bioassay / Potency / Analytical Development""]"
